Position,Track Name,Artist,Streams,URL
170,Rojo,J Balvin,672399,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
171,Nada,Cali Y El Dandee,672177,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
172,24 (feat. Lil Baby),Money Man,671559,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
173,MAMACITA,Black Eyed Peas,666053,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
174,Fake,Lauv,664430,https://open.spotify.com/track/4Gt2kh3QbAGU6yquOWn4aW
175,Without Me,Halsey,664289,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
176,De Menina pra Mulher - Ao Vivo,Gusttavo Lima,663641,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ
177,The Less I Know The Better,Tame Impala,661811,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
178,Star Shopping,Lil Peep,659405,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
179,Someone Like You,Adele,658804,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB
180,Safaera,Bad Bunny,656474,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
181,Oh Juliana,Niack,651796,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
182,"10,000 Hours (with Justin Bieber)",Dan + Shay,647180,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
183,SLOW DANCING IN THE DARK,Joji,647086,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
184,Let Her Go,Passenger,646663,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
185,Play Date,Melanie Martinez,645531,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
186,Moonlight,XXXTENTACION,644244,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
187,Take Me To Church,Hozier,643958,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
188,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,643472,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
189,Happier,Marshmello,641894,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
190,Beautiful People (feat. Khalid),Ed Sheeran,641649,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
191,Yo Perreo Sola,Bad Bunny,641646,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
192,Promiscuous,Nelly Furtado,637871,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
193,Hasta Que Dios Diga,Anuel AA,636316,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
194,E-GIRLS ARE RUINING MY LIFE!,CORPSE,634945,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
195,Papi Chulo,Octavian,630685,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
196,It's You,Ali Gatie,629822,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
197,Whoopty,CJ,628338,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
198,Photograph,Ed Sheeran,627343,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
199,OK Not To Be OK,Marshmello,626530,https://open.spotify.com/track/0zzVTGyRrWpQu8Fr28NRAv
200,Bande organisée,13 Organisé,623209,https://open.spotify.com/track/6YzQOngfcV0W9F8UOTnEEK
